scenario,sector,region,technology,sub_technology,year,lcoe
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2018.0,71.70483338
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2019.0,71.40715057
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2020.0,71.10724771
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2021.0,70.80540548
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2022.0,70.50188893
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2023.0,70.19701204
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2024.0,69.89107281
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2025.0,69.584422
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2026.0,69.27753098
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2027.0,68.97111377
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2028.0,68.66631211
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2029.0,68.36487553
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2030.0,68.06910677
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2031.0,67.78134123
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2032.0,67.50322625
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2033.0,67.23541491
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2034.0,66.97777217
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2035.0,66.72973192
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2036.0,66.49056259
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2037.0,66.25951117
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2038.0,66.03591766
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2039.0,65.81910422
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2040.0,65.60847877
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2041.0,65.40352124
Oxford - slow_transition,Power,World,Renewables,Bioenergy,2042.0,65.20377239
